timestamp:integer,:START_ID,relation:TYPE,:END_ID
279546465,1001599100,guarantees,1009484551
279546468,1003110610,guarantees,1012446334
279546469,1004208862,guarantees,1004483438
279546471,1005630696,guarantees,1009643558
279546472,1004236766,guarantees,1012152038
279546474,1000658442,guarantees,1012746964
279546476,1002893439,guarantees,1002893439
279546477,1001649023,guarantees,1011757359
279546478,1000849582,guarantees,1012737106
279546479,1002962946,guarantees,1011711282
279546486,1000389252,guarantees,1011847297
279546488,1005720325,guarantees,1012730937
279546489,1001065978,guarantees,1012619475
279546490,1000463258,guarantees,1007290506
279546492,1001789734,guarantees,1012061550
279546494,1000638152,guarantees,1002127926
279546495,1002847519,guarantees,1004669245
279546496,1001895339,guarantees,1011768451
279546497,1009883328,guarantees,1012188837
279546498,1009267783,guarantees,1011312624
279546501,1004093260,guarantees,1011874715
279546502,1002895052,guarantees,1012384281
279546503,1005162357,guarantees,1002851668
279546505,1005027749,guarantees,1012209414
279546509,1008089345,guarantees,1010679610
279546511,1002847519,guarantees,1008803066
279546513,1003292643,guarantees,1012054668
279546516,1003428231,guarantees,1003428231
279546517,1003173532,guarantees,1012629373
279546518,1003163504,guarantees,1003163504
279546519,1005033826,guarantees,1005033826
279546521,1007838019,guarantees,1010820851
279546522,1006193036,guarantees,1010734917
279546523,1008081830,guarantees,1004434580
279546524,1010866767,guarantees,1011120736
279546526,1009490223,guarantees,1011993043
279546527,1010894142,guarantees,1010768595
279546529,1005720325,guarantees,1012597969
279546531,1006543906,guarantees,1012866243
279546533,1010932603,guarantees,1011115583
279546534,1011067710,guarantees,1011424164
279546535,1011008519,guarantees,1011173729
279546537,1011006883,guarantees,1011418241
279546540,1007223045,guarantees,1009267413
279546541,1009490223,guarantees,1011788667
279546543,1011067710,guarantees,1011321713
279546544,1009490223,guarantees,1011419325
279546545,1008645254,guarantees,1012410468
279546546,1010824013,guarantees,1012433345
279546547,1010981338,guarantees,1006242453
279546548,1009472089,guarantees,1003114878
279546550,1011333717,guarantees,1011738622
279546555,1007838019,guarantees,1010860629
279546556,1009490223,guarantees,1001481883
279546557,1010766229,guarantees,1012401534
279546559,1011307566,guarantees,1000924545
279546560,1010766229,guarantees,1010983895
279546561,1010815449,guarantees,1006317903
279546563,1011265584,guarantees,1010940331
279546564,1009478491,guarantees,1009478491
279546565,1009490223,guarantees,1011816138
279546567,1009324583,guarantees,1011391860
279546571,1010984557,guarantees,1012239743
279546574,1011520769,guarantees,1011520769
279546575,1011403473,guarantees,1011403473
279546577,1008714528,guarantees,1012699957
279546579,1010902824,guarantees,1011107566
279546580,1010902824,guarantees,1008953315
